review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,Cluster
1,Aryan Maharaj,45,Realme,Realme 12 Pro,337.31,INR,83.0,2.0,Negative,India,Hindi,11/6/2023,True,1,1,3,2,1,1,Amazon,2
2,Davi Miguel Sousa,18,Realme,Realme 12 Pro,307.78,BRL,5.7,4.0,Positive,Brazil,Portuguese,3/30/2023,True,3,2,4,3,2,5,Flipkart,0
3,Pahal Balay,27,Google,Pixel 6,864.53,INR,83.0,4.0,Positive,India,Hindi,12/7/2022,True,3,5,3,2,4,8,AliExpress,1
4,David Guzman,19,Xiaomi,Redmi Note 13,660.94,AED,3.67,3.0,Positive,UAE,English,3/11/2025,False,1,3,2,1,2,3,Amazon,2
5,Yago Leão,38,Motorola,Edge 50,792.13,BRL,5.7,3.0,Neutral,Brazil,Portuguese,9/29/2023,True,3,3,2,2,1,0,BestBuy,0
6,Lara Abreu,38,Apple,iPhone 14,948.79,BRL,5.7,5.0,Positive,Brazil,Portuguese,6/27/2023,False,5,4,5,5,4,6,AliExpress,1
7,Gina Moore,40,OnePlus,OnePlus 12,420.13,AED,3.67,3.0,Positive,UAE,English,3/27/2024,False,3,3,2,1,2,2,eBay,0
8,James Howard,39,Apple,iPhone SE,1443.76,AUD,1.53,2.0,Negative,Australia,English,4/8/2024,True,2,1,2,2,2,3,Amazon,2
9,Rosalia Beyer,32,Realme,Realme 12 Pro,275.73,EUR,0.93,4.0,Positive,Germany,German,10/4/2024,False,4,3,2,3,3,8,eBay,0
10,Valerie Gray,31,OnePlus,OnePlus Nord 3,545.57,AUD,1.53,3.0,Positive,Australia,English,2/25/2025,True,2,2,3,3,2,4,BestBuy,0
11,Aimee Hurst-Taylor,20,Realme,Realme 12 Pro,462.3,GBP,0.78,3.0,Neutral,UK,English,4/5/2025,True,4,1,3,5,2,0,eBay,0
12,Benjamin Stanley,30,Xiaomi,Mi 13 Pro,495.45,CAD,1.38,2.0,Neutral,Canada,English,1/14/2024,True,1,2,1,2,1,2,Amazon,2
13,Igor Brito,18,Motorola,Moto G Power,404.64,BRL,5.7,5.0,Positive,Brazil,Portuguese,6/3/2024,True,5,5,3,5,5,7,AliExpress,1
14,Mark Diaz,32,Realme,Realme Narzo 70,247.88,CAD,1.38,2.0,Negative,Canada,English,5/19/2024,False,1,3,2,1,2,2,eBay,2
15,Ms Hollie Phillips,39,Samsung,Galaxy Note 20,1146.49,GBP,0.78,3.0,Neutral,UK,English,9/17/2025,True,2,3,1,2,3,4,BestBuy,0
16,Ana Sophia Pereira,19,Realme,Realme Narzo 70,262.0,BRL,5.7,2.0,Neutral,Brazil,Portuguese,7/4/2025,False,2,1,2,2,1,3,Flipkart,2
17,Nicholas Martin,18,Google,Pixel 7a,1010.68,USD,1.0,4.0,Positive,USA,English,6/2/2024,True,4,4,3,4,4,11,Flipkart,1
18,Henry Rodrigues,39,Motorola,Razr 40,678.98,BRL,5.7,2.0,Positive,Brazil,Portuguese,3/8/2024,True,2,1,2,1,1,1,AliExpress,2
19,Erdal Beckmann,18,Xiaomi,Poco X6,432.8,EUR,0.93,5.0,Positive,Germany,German,2/24/2024,True,4,5,5,3,4,2,Amazon,1
20,Austin Gentry,43,Realme,Realme Narzo 70,403.17,AUD,1.53,5.0,Positive,Australia,English,3/21/2025,True,5,5,5,5,4,3,eBay,1
21,Charles Kelly-Morley,46,Apple,iPhone SE,1470.12,GBP,0.78,1.0,Negative,UK,English,7/16/2025,False,1,1,1,1,1,3,BestBuy,2
22,Derek Wright,22,Motorola,Razr 40,567.03,CAD,1.38,5.0,Positive,Canada,English,3/12/2025,True,3,4,5,4,4,5,AliExpress,1
23,Priya Rastogi,53,Motorola,Razr 40,227.18,INR,83.0,4.0,Positive,India,Hindi,5/6/2024,True,4,4,3,4,4,9,Amazon,1
